Cod	Denumire
813150	operator la tragere si munitie
813149	confectioner cartuse de vânatoare
813148	preparator la produse explozive
813147	pregatitor la produse explozive
813146	nitrator
813145	confectioner produse pirotehnice
813144	confectioner fitile
813143	conditioner finisor produse explozive
813142	preparator ser vaccin
813141	preparator la prepararea produselor cosmetice si de parfumerie
813140	preparator prafuri de spalat si curatat
813139	preparator benzi cauciucate si compozitii emplastre
813138	operator chimist la produsele farmaceutice si chimice pure
813137	operator la fabricarea detergentilor
813136	operator la produse odorante sintetice
813135	operator la fabricarea sapunurilor
813134	operator la fabricarea glicerinei si acizilor grasi
813133	finisor universal ferodouri
813132	preparator ferodouri
813131	operator la fabricarea pieii sintetice
813130	producator de fire si fibre sintetice
813129	operator chimist la chimizarea gazului de cocs
813128	operator chimist la fabricarea altor produse organice
813127	operator cracare, deformare si fabricare bitum
813126	operator chimist la chimizarea gazelor de rafinarie
813125	preparator lacuri, vopsele, paste de fludor folosite la aparataj electric
813124	operator lacuri electroizolante
813123	operator chimist la producerea compusilor anorganici ai azotului si îngrasamintelor azotoase
813122	operator la obtinerea produselor din spume poliuretanice si latex
813121	operator chimist la fabricarea colorantilor
813120	operator chimist la fabricarea lacurilor, vopselelor si uleiurilor
813119	operator chimist la producerea diverselor produse anorganice
813118	distilator în industria chimica
813117	operator chimist la producerea compusilor organici ai sulfului si îngrasamintelor fosfatice
813116	extractorist uleiuri volatile naturale si colesterina
813115	concentrator-purificator în chimie
813114	fermentator în chimie
813113	extractorist în chimie
813112	operator poliesteri armati cu fibra de sticla
813111	preparator amestec si topitor sticla
813110	filator fibre sticla
813109	împâslitor pânza sticla
813108	operator la fabricarea sticlei
813107	sinterizator
813106	preparator în industria chimica
813105	uscator în industria chimica
813104	operator la instalatii de ardere
813103	operator la masini de amestecare (produse chimice)
813102	operator la masini de fragmentare (produse chimice)
813101	operator la masini de macinare fina (produse chimice)
812227	confectioner celule de electroliza
812226	confectioner de elemente galvanice
812225	asamblator elemente si baterii galvanice
812224	confectioner si legator depolarizator
812223	preparator electrolit si amestec depolarizator
812222	pregatitor seturi de cabluri electrice pentru autotrac si accesorii
812221	confectioner toroane si cablaje la conductori electrici
812220	confectioner mantale de plumb prin presare la cabluri
812219	confectioner izolatii la conductori electrici
812218	protejator conductori cabluri si condensatori statici de forta
812217	poleitor filiere
812216	acoperitor metale
812215	emailator prin imersiune
812214	preparator email
812213	emailator prin pulverizare
812212	emailator prin pudrare
812211	emailator firme si decoruri
812210	emailator insigne si decoratii
812209	arzator email
812208	metalizator-termist
812207	matisor cabluri
812206	operator la confectionarea materialelor electroizolante
812205	emailator
812204	confectioner protectii si obiecte anticorozive
812203	metalizator prin cufundare în metal topit
812202	metalizator prin pulverizare
812201	galvanizator
812147	trefilator, tragator
812146	regulator tevi
812145	decapator
812144	finisor laminate si trefilate
812143	operator la pregatirea sarjelor pentru tratament termic
812142	operator la instalatii de tratament termic cu procesare
812141	termist-tratamentist
812140	calitor scule
812139	calitor prin inductie sau cu flacara
812138	termist tratamentist de piese semifabricate, finite
812137	termist-tratamentist de produse brute, forjate, turnate sau laminate
812136	laminator
812135	operator la cuptoare si instalatii pentru turnarea si laminarea metalelor
812134	alimentator-încalzitor de materiale
812133	presator de tevi la cald si profiluri prin extruziune
812132	laminator de benzi la rece
812131	laminator pe laminoare continue
812130	laminator de tevi
812129	laminator de bandaje si discuri
812128	laminator tabla subtire
812127	laminator sârma
812126	topitor, turnator metale pretioase
812125	laminator, presator tevi plumb
812124	laminator semifabricate, profiluri tabla si platbanda
812123	operator separare magnetica
812122	masinist exhaustor
812121	aglomeratorist
812120	dozator la producerea aglomeratului
812119	pregatitor de sarje
812118	masinist suflante
812117	epurator gaze
812116	granulator zgura
812115	turnator fonta
812114	conditioner-finisor
812113	electrometalurgist
812112	rafinator metale neferoase
812111	topitor la concentrate miniere
812110	preparator la concentratele miniere
812109	curatitor lingouri
812108	metalurgist pulberi din oxid de fier
812107	dezbatator lingouri
812106	operator oxizi de plumb
812105	melanjorist
812104	pregatitor materiale de sarje
812103	otelar
812102	furnalist
812101	cocsar
811412	operator flux pentru fabrica de ciment
811411	operator camera comanda pentru fabrica de ciment
811410	confectioner garnituri din azbest
811409	operator la fabricarea vatei si produselor din vata minerala
811408	masinist pentru prefabricate din beton si beton armat
811407	operator la impregnarea produselor hidroizolatoare
811406	tratamentist produse din azbociment
811405	preparator pasta de azbociment
811404	morar lianti
811403	finisor produse din azbociment
811402	fasonator produse din azbociment
811401	cuptorar lianti
811314	operator flotare produse fluide
811313	primitor-preparator produse fluide
811312	sondor la punerea în productie
811311	sondor la interventii de sonde
811310	sondor la forajul mecanizat si reparatii sonde
811309	operator lucrari speciale sonde
811308	operator masuratori speciale sonde
811307	operator extractie sare în salina
811306	operator extractie titei în subteran
811305	operator extractie gaze
811304	operator transport pe conducte singulare gaze
811303	operator-prospector lucrari geologice si geofizice
811302	sondor la foraj manual
811301	operator extractie titei
811213	operator mineralurg
811212	concasorist
811211	tocator la masini de maruntit roci
811210	morar la masini de maruntit roci
811209	separator la prepararea carbunilor
811208	flotator la prepararea carbunilor
811207	spalator la prepararea carbunilor
811206	prelucrator mica
811205	prajitor minereu
811204	operator la sfarâmarea minereurilor
811203	operator la prepararea minereurilor
811202	distilator la prepararea carbunelui
811201	brichetator carbune
811107	trolist
811106	excavatorist pentru excavatoare cu rotor de mare capacitate
811105	semnalist-cuplator
811104	masinist pentru utilaje specifice la extractie si executia tunelurilor
811103	miner în subteran pentru constructii
811102	miner la suprafata
811101	miner în subteran
754301	controlor calitate
754204	pirotehnician
754203	pirotehnician cinematografie si teatru
